id,code,description,city,city_eng,street,area,zip,building,latitude,longitude
21860,WRO104M,"Przy posesji prywatnej, na wprost bramki wejściowej.",Wrocław,wroclaw,Morelowskiego,dolnośląskie,52-429,18,51.0728,16.9708
21861,WRO105M,Na wjeździe do biurowca,Wrocław,wroclaw,Skargi,dolnośląskie,50-082,3,51.10623,17.03805
21862,WRO106M,Przy biurowcu,Wrocław,wroclaw,Borowska,dolnośląskie,50-558,272,51.07135,17.03374
21863,WRO107M,W ogrodzeniu parkingu od strony osiedla,Wrocław,wroclaw,Poleska,dolnośląskie,51-354,48,51.14336,17.12853
21864,WRO108M,Przy Lidlu,Wrocław,wroclaw,Strachocińska,dolnośląskie,51-518,180,51.10272,17.15796
21865,WRO109M,"Po lewej stronie budynku, przy chodniku",Wrocław,wroclaw,Fabryczna,dolnośląskie,53-609,29-31,51.1128,16.98121
21866,WRO10B,Przy Centrum Handlowyn Borek,Wrocław,wroclaw,al. Hallera,dolnośląskie,53-324,52,51.08927,16.9997
21867,WRO10H,W lokalu użytkowym,Wrocław,wroclaw,Klecińska,dolnośląskie,54-412,138,51.10624,16.96961
21868,WRO10L,Stacja paliw Shell,Wrocław,wroclaw,Kamienna,dolnośląskie,50-545,145,51.08545,17.04597
21869,WRO10M,Na terenie stacji paliw Lotos,Wrocław,wroclaw,Awicenny,dolnośląskie,52-405,47,51.08132,16.95607
21870,WRO10N,Przy sklepie spożywczym ABC,Wrocław,wroclaw,Mrągowska,dolnośląskie,54-107,4,51.15113,16.94066
21871,WRO10W,Przy siedzibie wspólnoty mieszkaniowej,Wrocław,wroclaw,Zemska,dolnośląskie,54-438,35,51.11635,16.94855
21872,WRO110M,Po prawej stronie od wejścia do sklepu,Wrocław,wroclaw,Górnośląska,dolnośląskie,52-019,2B,51.07435,17.08581
21873,WRO111M,Po prawej stronie od wjazdu,Wrocław,wroclaw,Wietrzna,dolnośląskie,53-024,10,51.07233,16.9976
21874,WRO112M,na parkingu Novotel Wrocław City,Wrocław,wroclaw,Wyścigowa,dolnośląskie,53-011,35,51.0692,17.00747
21875,WRO113M,Przy posesji,Wrocław,wroclaw,Karkonoska,dolnośląskie,53-015,31,51.0696,17.0047
21876,WRO114M,Po lewej stronie od wejścia do sklepu,Wrocław,wroclaw,Wielkopolska,dolnośląskie,54-027,19-21,51.1411,16.8859
21877,WRO115M,Po prawej stronie od wjazdu na teren LIDLa,Wrocław,wroclaw,Buforowa,dolnośląskie,52-131,5/9,51.0688,17.056
21878,WRO116M,Po lewej stronie od posesji,Wrocław,wroclaw,Kamiennogórska,dolnośląskie,54-034,5,51.1415,16.9
21879,WRO117M,Przy skrzyżowaniu ulic Rumiankowej i M. Przybyły.,Wrocław,wroclaw,Rumiankowa,dolnośląskie,54-512,74,51.1211,16.9164
21880,WRO118M,Na terenie wspólnoty mieszkaniowej GAJ,Wrocław,wroclaw,Strońska,dolnośląskie,50-538,22,51.07288,17.04112
21881,WRO11A,Stacja paliw Circle K,Wrocław,wroclaw,Braniborska,dolnośląskie,53-680,84,51.11164,17.00621
21882,WRO11B,Parking SM Księże Małe,Wrocław,wroclaw,Tarnogórska,dolnośląskie,52-021,1,51.0749962031,17.086201171
